192.168.10.1 - - [30/May/2013:15:01:53 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:02 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:03 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:04 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:04 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:02:05 +0000] "GET /index.html HTTP/1.1" 200 40 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
